Year,SAMPLE_NAME,UNIQUE_ID,LOCATION,LAND_SEA,ROCK_TYPE,ROCK_NAME,LATITUDE,LONGITUDE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEOT_WT,FEO_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,F_PPM,K_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,TL_PPM,PB_PPM,BI_PPM,RA226(PPQ),TH_PPM,TH232_PPM,PA(PPT),U_PPM,U238_PPM,CO2_PPM,H2O_PPM,OH_PPM
2000,samp. AN2,11767-AN 2,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,50.21,1.08,15.96,9.76,,,11.41,7.04,0.17,0.09,3.16,0.08,,,,,,,,273,129,,57,,,,,,3.35,131,44.8,67,7.23,,,,,,,,83,7.12,17.8,2.7,13.36,4.38,1.58,5.6,0.99,6.26,1.31,3.77,0.55,3.6,0.54,2.22,0.49,,,0.14,,,0.42,,,0.1,,,,
2000,samp. SE34,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,"BASALT, THOLEIITIC",10.5,-85,51.03,1.13,13.63,13.12,,,10.39,7.08,0.2,0.17,2.38,0.09,,,,,,,,362,127,,104,,,,,,,92,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. AN2,11767-AN 2,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,49.29,2.06,13.42,16.48,,,7.5,4.13,0.25,0.23,3.74,0.16,,,,,,,,383,0,,0,,,,,,,211,,125,,,,,,,,,,,,,13.36,4.38,,,,,,,,,,,,,,0.112,,,0.456,,,0.142,,,,
2000,samp. AN14,11769-AN 14,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,"GRANITE, PLAGIOCLASE",10.5,-85,70.47,0.54,11.16,7.07,,,4.21,0.36,0.13,0.25,5.46,0.11,,,,,,,,0,0,,0,,,,,,3.78,120,143.8,561,21.15,,,,,,,,84,16.77,47.26,7.53,38.07,12.59,3.63,15.89,2.95,19.58,4.2,12.72,1.97,14.42,2.28,1.36,1.45,,,0.23,,,1.01,,,0.22,,,,
2000,samp. BN16,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,48.8,2.16,13.27,16.33,,,8.44,4.56,0.25,0.2,3.29,0.15,,,,,,,,498,24,,11,,,,,,,187,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. BN23,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,"GRANITE, PLAGIOCLASE",10.5,-85,48.37,1.27,14.39,11.61,,,11.93,8.06,0.18,0.22,2.22,0.1,,,,,,,,321,268,,110,,,,,,,152,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. BN30,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,49.62,1.16,13.67,13.03,,,10.28,7.35,0.2,0.21,2.33,0.09,,,,,,,,343,51,,71,,,,,,,88,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. BN31,11871-BN 31,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,PLUTONIC ROCK,GABBRO,10.5,-85,50.46,0.5,16.61,8.36,,,12.24,7.04,0.17,0.04,2.47,0.02,,,,,,,,214,18,,42,,,,,,0.21,130,9.2,25,0.93,,,,,,,,9,0.88,2.38,0.41,2.16,0.84,0.42,1.21,0.24,1.66,0.35,1,0.15,1.01,0.15,0.44,0.06,,,0.08,,,0.05,,,0.01,,,,
2000,samp. AN3,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.1,1.63,13.36,14.5,,,10.9,6.76,0.23,0.21,2.03,0.13,,,,,,,,392,78,,70,,,,,,3.62,114,36.5,93.5,5.07,,,,,,,,21,4.77,12.47,1.93,9.8,3.36,1.2,4.43,0.79,5.09,1.09,3.16,0.46,3.09,0.46,2.49,0.34,,,0.49,,,0.36,,,0.12,,,,
2000,samp. AN18,11770-AN 18,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.73,0.76,13.22,9.73,,,12.92,10.96,0.16,0.13,1.65,0.05,,,,,,,,274,890,,213,,,,,,3.41,71,16.6,38,2.09,,,,,,,,35,1.81,4.72,0.74,3.99,1.43,0.55,1.95,0.36,2.39,0.53,1.57,0.23,1.5,0.23,0.93,0.14,,,0.23,,,0.13,,,0.04,,,,
2000,samp. AN21,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,49.8,1.22,13.5,12.37,,,10.93,7.44,0.22,0.25,2.26,0.1,,,,,,,,382,156,,90,,,,,,,91.5,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. AN23,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,49.66,1.21,13.96,12.44,,,10.79,7.69,0.21,0.27,2.42,0.1,,,,,,,,382.5,155,,95,,,,,,1.34,105.5,27.2,62,4.11,,,,,,,,12,3.12,8.27,1.3,6.71,2.34,0.87,3.22,0.6,4.12,0.91,2.75,0.4,2.72,0.4,1.7,0.28,,,0.33,,,0.29,,,0.09,,,,
2000,samp. AN24,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,47.25,1.21,13.38,12.78,,,9.48,7.49,0.21,0.05,3.52,0.1,,,,,,,,340,181,,114,,,,,,,126,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. AN28,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,49.54,1.03,14.07,11.37,,,11.25,8.2,0.19,0.22,2.25,0.07,,,,,,,,318,252,,127,,,,,,1.48,93,21.3,54.5,3.37,,,,,,,,37,2.78,7.16,1.1,5.71,1.94,0.73,2.68,0.49,3.26,0.71,2.13,0.32,2.14,0.32,1.45,0.23,,,0.22,,,0.25,,,0.07,,,,
2000,samp. AN36,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.82,1.36,13.95,13.94,,,10.82,7.19,0.23,0.17,2.4,0.1,,,,,,,,400,104,,96,,,,,,,81,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. AN46,11773-AN 46,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.89,1.8,15.01,11.77,,,10.12,6.87,0.2,0.13,3.25,0.14,,,,,,,,424.5,144,,101,,,,,,1.44,109,44.8,99.5,5.81,,,,,,,,36,6.28,17.09,2.69,13.5,4.54,1.61,5.8,1.05,6.64,1.4,4.05,0.58,3.87,0.56,3.36,0.39,,,0.51,,,0.48,,,0.19,,,,
2000,samp. AN52,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.98,0.98,14,11.17,,,12.13,8.33,0.19,0.23,2.09,0.07,,,,,,,,307,225,,132,,,,,,1.94,92,22.4,53,2.97,,,,,,,,11,2.58,6.68,1.03,5.3,1.88,0.72,2.62,0.47,3.06,0.68,2.05,0.31,2,0.3,1.41,0.2,,,0.26,,,0.23,,,0.07,,,,
2000,samp. AN53,,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,48.46,0.99,14.22,11.3,,,12.61,8.63,0.23,0.05,1.96,0.08,,,,,,,,311.5,223,,136,,,,,,0.32,77,20.5,52,3.04,,,,,,,,6,2.5,6.53,1.04,5.41,1.85,0.71,2.57,0.48,3.17,0.69,2.07,0.3,2.04,0.3,1.36,0.21,,,0.26,,,0.22,,,0.07,,,,
