TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,59.68,0.3434,16.38,,,3.32,1.1639,0.2479,0.1573,5.36,6.14,0.0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B- 5H 3 70-74 [20692],NOT GIVEN [20692],VOL,61.48,0.2667,16.04,,,3.66,1.2203,0.1629,0.176,5.14,6.23,0.0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,63.0139,0.2356,16.0032,,,3.37,0.981,0.1371,0.1601,5.28,6.28,0.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,61.6201,0.2099,15.5424,,,3.71,0.7657,0.0892,0.1876,4.79,7.3,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,62.5998,0.2793,15.9072,,,3.91,0.9615,0.1334,0.1341,5.26,6.49,0.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,60.8121,0.4472,16.3392,,,4.2,1.1931,0.334,0.2042,5.21,6.87,0.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,61.307,0.2172,15.4656,,,4.14,0.7629,0.0883,0.2698,4.67,7.41,0.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,61.8524,0.3787,16.0128,,,3.52,0.9647,0.2535,0.2063,5.35,6.25,0.0783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,64.3774,0.1765,16.4736,,,2.53,0.9587,0.1178,0.0569,5.57,6.67,0.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,60.9636,0.2378,16.368,,,2.69,1.016,0.2596,0.1278,5.42,5.8,0.0538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,60.5798,0.4045,16.0128,,,3.21,1.1443,0.3188,0.1636,5.39,6.07,0.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241B-5H-4-15-20   [20692],NOT GIVEN [20692],VOL,60.3071,0.2537,15.84,,,3.92,0.8884,0.1321,0.1931,4.8,6.7,0.0432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
