TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-E [8351],BASALT [8351],VOL,49.06,1.32,14.66,,,10.68,12.85,7.67,0.2,0.06,2.93,0.07,,,,,,,,,,,,,,,57,,339,223,,,57.2,89.6,123,88.9,,,,,,0.82,119,34.9,81.1,1.78,,,,,,,,,,,,,25,3.03,8.68,1.58,8.8,3.33,1.26,4.59,0.87,5.68,1.26,3.62,0.54,3.35,0.5,2.19,0.11,,,,,,,,,1.97,,0.14,0.13
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-F [8351],BASALT [8351],VOL,49.13,1.31,14.47,,,10.63,12.78,7.61,0.19,0.06,2.96,0.09,,,,,,,,,,,,,,,52.6,,313,210,,,50.3,55.8,120,73.5,,,,,,0.61,97.4,30.6,68.6,1.33,,,,,,,,,,,,,7.23,1.96,6.66,1.29,7.34,2.89,1.1,3.98,0.76,4.97,1.1,3.15,0.47,2.89,0.43,1.89,0.09,,,,,,,,,0.26,,0.09,0.02
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-G [8351],BASALT [8351],VOL,49.37,1.25,14.59,,,10.49,12.95,7.89,0.21,0.05,2.87,0.06,,,,,,,,,,,,,,,51.2,,318,205,,,51.9,65.9,122,76.9,,,,,,0.52,98,31.8,65.3,1.12,,,,,,,,,,,,,6.35,1.74,6.15,1.24,7.25,2.95,1.15,4.13,0.79,5.22,1.16,3.32,0.49,3.06,0.46,1.89,0.08,,,,,,,,,0.24,,0.07,0.01
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.4782,-89.8308,SAQ,s_D23-H [8351],BASALT [8351],VOL,49.09,1.33,14.51,,,10.7,12.81,7.65,0.2,0.06,2.93,0.07,,,,,,,,,,,,,,,51.5,,309,201,,,50.3,55.2,124,76.2,,,,,,0.66,102,31.6,71.7,1.39,,,,,,,,,,,,,7.72,2.05,6.95,1.36,7.72,3.02,1.16,4.16,0.78,5.19,1.15,3.28,0.49,3.03,0.45,1.98,0.09,,,,,,,,,0.27,,0.09,0.02
OCEAN ISLAND,GALAPAGOS ISLANDS / GENOVESA (TOWER),0.3747,-89.857,SAQ,s_D22-D [8351],BASALT [8351],VOL,49.77,0.714,21.16,,,6.02,12.89,6.86,0.116,0.04,1.95,0.046,,,,,,,,,,,,,,,27,,170,346,,,42.97,142,105,39,15,,,,,0.34,119,18,44,1.5,,,,,,,,,,,,,5.99,1.19,3.97,0.78,4.49,1.75,0.74,2.36,0.44,2.91,0.64,1.84,0.27,1.69,0.25,1.12,,,,,,,,,,0.48,,0.06,0.02
OCEAN ISLAND,GALAPAGOS ISLANDS / WOLF (WENMAN),1.38,-91.81,SAE,s_PL02-W90-1 [8350],BASALT [8350],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,10.6,24.6,3.57,16.4,4.5,1.52,5.27,0.99,5.79,1.22,3.36,0.52,3.29,0.51,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / TORTUGA ISLAND,1,-90.85,SAE,s_PL02-G90-4 [8350],BASALT [8350],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,18.4,42.9,5.98,26.3,6.44,2.16,6.58,1.19,6.62,1.29,3.34,0.48,2.94,0.43,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / TORTUGA ISLAND,1,-90.85,SAE,s_PL02-G90-6 [8350],BASALT [8350],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,18.4,43.5,5.86,26.3,6.35,2.1,6.45,1.17,6.29,1.22,3.14,0.45,2.75,0.41,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / WOLF (WENMAN),1.38,-91.81,SAE,s_PL02-W90-6 [8350],BASALT [8350],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,7.63,17.8,2.61,12.5,3.57,1.28,4.53,0.86,5.14,1.11,2.99,0.46,2.91,0.45,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,-0.05,-91.41,SAE,s_W95 1 [8493],BASALT [8493],VOL,48.97,3.21,14.69,,,11.78,10.75,6.28,0.19,0.56,3.26,0.4,,,,,,,,,,,,,,,46,,371,,,,,,95,100,24,,,,,5,376,35,236,19,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0.0028,-91.3619,SAE,s_W95 2 [8493],BASALT [8493],VOL,49.42,3.22,14.49,,,11.76,11,6.17,0.19,0.54,3.42,0.38,,,,,,,,,,,,,,,49,,376,,,,,,88,103,21,,,,,5,384,34,224,18,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0.02,-91.37,SAE,s_W95 3 [8493],BASALT [8493],VOL,49.18,2.71,15.65,,,10.47,11.85,6.4,0.17,0.44,3.03,0.31,,,,,,,,,,,,,,,46,,310,,,,,,100,87,21,,,,,5,391,29,189,15,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0.03,-91.33,SAE,s_W95 4 [8493],BASALT [8493],VOL,49.13,3.23,14.23,,,11.64,10.87,6.11,0.19,0.57,3.44,0.39,,,,,,,,,,,,,,,39,,366,,,,,,76,102,24,,,,,7,380,36,236,19,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0.0309,-91.323,SAE,s_W95 5 [8493],BASALT [8493],VOL,49.35,3.21,14.33,,,12.07,10.86,6.16,0.19,0.54,3.28,0.39,,,,,,,,,,,,,,,35,,368,,,,,,73,96,23,,,,,7,380,36,234,19,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
